заголовок: Заголовок
издевка: издвкой
закатать: закатал
пузырь: пузырь
месяц: месяц
факт: факт
продолжить: продолжить
выступать: выступать
после: после
выздоровление: выздоровления
бедняга: Бедняга
большой: больше
фарш: фарш
похожий: похожие
готовить: готовите
понимать: понимаете
самородок: самородок
обещать: обещает
стать: стать
выдающийся: выдающимся
пилот: пилоту
опешить: опешил
блюститель: блюститель
закон: закона
зачем: Зачем
подготовка: подготовка
бы: бы
понять: понял
б: б
собираться: собирался
штурмовик: штурмовиком
решить: решил
параллельно: параллельно
изучать: изучать
искусство: искусство
рукопашный: рукопашного
помогать: помогал
надо: надо
спасибо: спасибо
сказать: сказать
ну: Ну
мочь: можете
гордиться: гордиться
вина: вине
лишиться: лишился
законный: законного
выигрыш: выигрышем
через: Через
два: два
день: дня
спаррингпартнер: спаррингпартнр
ринг: ринге
сделать: сделал
ставка: ставку
сочувствовать: сочувствую
но: но
когда: когда
да: да
вон: вон
обернитесь: Обернитесь
забирать: забирайте
скорый: поскорее
много: много
недовольный: недовольных
пролететь: пролетел
следствие: следствие
тоже: тоже
игрушка: игрушки
играть: играем
разобраться: Разобрались
подопечный: подопечного
идти: идите
отсюда: отсюда
невпроворот: невпроворот
удивленный: удивлнной
бороться: бороться
при: при
подключить: подключить
знакомый: знакомых
долгий: долгую
честной: честную
служба: служба
скопиться: скопилось
немало: немало
оказываться: оказывается
странно: Странно
сажать: сажали
малый: меньшее
както: Както
вязаться: вяжется
черим: Черима
бал: Балах
пребывать: пребывал
растерянность: растерянности
разговор: разговоре
принимать: принимал
участие: участия
успевать: успевал
вставить: вставить
пять: пять
копейка: копеек
прекрасно: прекрасно
знать: знал
правопорядок: правопорядка
поэтому: Поэтому
удивить: удивлн
меньше: меньше
илюха: Илюха
изумить: изумлен
вопервых: Вопервых
никогда: никогда
парад: парад
оба: оба
наставник: наставника
сразу: сразу
регалия: регалиях
старпер: Старпры
нарядиться: нарядились
иконостас: иконостас
орденский: орденских
плашка: плашек
внушать: внушал
почтение: почтение
награда: наград
дед: дед
равно: равно
смотреться: смотрелся
бледноватый: бледновато
солдат: солдат
пройти: прошедший
чеченский: чеченскую
кампания: кампанию
стоять: стоял
матерый: матерым
ветеран: ветераном
великий: Великой
отечественный: Отечественной
война: войны
мундир: мундир
весить: весит
килограмм: килограммов
тридцать: тридцать
старый: старого
вояка: вояки
висеть: висели
вовторых: вовторых
присутствие: присутствие
достойный: достойных
околоток: околотке
вызывать: вызывало
изумление: изумление
никак: Никак
ожидать: ожидал
илья: Илья
забота: заботы
лео: Лео
мальчик: Мальчик
кинуться: кинулся
порядок: порядке
ты: ты
чувствовать: чувствуешь
представлять: Представляем
внимание: вниманию
отобрать: отобрали
схожий: схожую
название: названию
смысл: смысле
литература: литературу
надежда: надежде
предоставить: предоставить
читатель: читателей
больше: больше
вариант: вариантов
интересный: интересные
обсуждение: Обсуждение
собственный: собственные
мнение: мнения
оставить: Оставьте
думать: думаете
главный: главных
указать: Укажите
конкретно: конкретно
понравиться: понравилось
почему: почему
считать: считаете
