заголовок: Заголовок
замечать: замечал
доставать: доставал
фотография: фотографии
подолгу: подолгу
сидеть: сидя
молча: молча
гладить: гладя
палец: пальцы
изображение: изображение
белокурый: белокурой
еще: ещ
дрожать: дрожат
помнить: помнил
естественно: естественно
мочь: мог
однако: однако
уровень: уровне
ощущение: ощущений
инстинкт: инстинктов
угодно: угодно
теплый: тплое
нежный: нежное
добрый: доброе
надежный: наджное
умиротворять: умиротворяющее
мало: мало
остаться: осталось
дорожить: дорожил
детство: детство
проходить: проходило
постоянный: постоянных
переезд: переездах
даже: даже
нравиться: нравилось
интересный: интересные
жизнь: жизни
городок: городке
пацан: пацана
взгляд: взгляд
куда: куда
веселый: веселей
больший: Большую
часть: часть
свободный: свободного
время: времени
проводить: проводил
работа: работе
мальчишка: мальчишки
игрушка: игрушки
взрослый: взрослых
дядька: дядек
отличаться: отличался
среднестатистический: среднестатистического
разве: Разве
гденибудь: гденибудь
происходить: происходило
заводила: заводилой
лидер: лидером
оказываться: оказывался
часто: часто
огребать: огребал
помидор: помидоры
поступок: поступки
хвалить: хвалили
считать: считаете
обязанный: обязан
правильно: правильно
честно: честно
порядочно: порядочно
справедливо: справедливо
нормальный: нормально
говорить: говорить
нечего: нечего
плохой: плохие
наказывать: наказывал
примерно: примерно
частый: Чаще
выдернув: выдернув
портупея: портупею
расписав: расписав
задница: задницу
синий: синюю
клеточка: клеточку
обида: обиде
ведь: ведь
попасться: попался
значит: значит
виноватый: виноват
заслужить: Заслужил
получить: получил
там: там
верный: верно
главный: главных
чтобы: чтобы
справедливый: справедливо
обижаться: обижаться
изза: Изза
справедливость: справедливости
школа: школе
вечно: вечно
проблема: проблемы
ктото: когото
обижать: обижали
незаслуженно: незаслуженно
вписываться: вписывался
както: Както
класс: классе
урок: уроке
вдруг: вдруг
приспичить: приспичило
малый: малой
нужда: нужде
бывать: бывает
отпроситься: Отпросился
забежать: забежал
туалет: туалет
увидеть: увидел
девятиклассник: девятиклассника
выворачивать: выворачивает
карман: карманы
первоклашка: первоклашки
размазывать: размазывая
кровавый: кровавые
сопля: сопли
обильно: обильно
струиться: струящиеся
нос: носа
беззвучно: беззвучно
плакать: плачет
дальнейший: Дальнейшие
давность: давностью
помнятся: помнятся
смутно: смутно
холодный: Холодное
бешенство: бешенство
металлический: металлический
привкус: привкус
чужой: чужой
кровь: крови
рот: рту
плюс: плюс
кусок: кусок
откусить: откушенного
ухо: ухо
положительный: положительный
результат: результат
выбрать: выбрал
единственно: единственно
прыгнуть: прыгнул
спина: спину
дылда: дылда
вцепиться: вцепился
зуб: зубами
оттопырить: оттопыренное
отрицательный: Отрицательный
синежелтый: синежлтого
фингал: фингала
оба: оба
глаз: глаза
десятый: десятое
потом: Потом
всеобщий: всеобщее
порицание: порицание
общешкольный: общешкольной
внеплановый: внеплановой
линейка: линейке
вызов: вызов
голова: голову
прийти: пришло
разбираться: разбираться
оказаться: оказался
сын: сын
завуч: завуча
учет: учте
комната: комнате
милиция: милиции
найтись: нашлось
быстро: быстро
тогда: тогда
ругать: ругал
вовсе: вовсе
день: день
коротко: коротко
приказать: приказал
рассказывай: Рассказывай
выслушать: выслушав
кивнуть: кивнул
хлопнуть: хлопнул
плечо: плечу
выдать: выдал
запомнить: Запомни
должный: должно
право: прав
бей: бей
правый: прав
терпи: терпи
терпеть: терпеть
говно: говна
закончиться: закончилось
кличка: кличку
драный: Драный
псих: психом
короткий: короткая
беседа: беседа
запомниться: запомнилась
намертво: намертво
стараться: старался
представлять: Представляем
внимание: вниманию
похожий: похожие
отобрать: отобрали
схожий: схожую
название: названию
смысл: смысле
литература: литературу
надежда: надежде
предоставить: предоставить
читатель: читателей
вариант: вариантов
обсуждение: Обсуждение
собственный: собственные
мнение: мнения
оставить: Оставьте
думать: думаете
указать: Укажите
понравиться: понравилось
нет: нет
почему: почему
