заголовок: Заголовок
территория: территории
состав: состав
образование: образованием
назвать: назвали
серый: Серой
зона: Зоной
фронтир: Фронтиром
обозначить: обозначив
граница: границы
куда: куда
соваться: соваться
следовать: следует
там: там
за: за
жизнь: жизни
человеческий: человеческую
никто: никто
ломаного: ломаного
грош: гроша
дать: дали
постепенно: Постепенно
видеть: видя
выгода: выгоду
присоединяться: присоединяться
расширять: расширяя
империя: Империи
где: где
господствовать: господствовали
процветание: процветание
однако: однако
образоваться: образовалась
параллельно: параллельно
простор: просторах
три: три
фигурант: фигуранта
верный: Вернее
два: два
государство: Государство
мара: Мар
республика: Республика
манти: Манти
также: также
основа: основе
иметь: имели
корень: корни
расселиться: расселившись
расовый: расовому
признак: признаку
преодолеть: преодолеть
древний: древних
разногласие: разногласия
постоянно: постоянно
воевать: воевали
представлять: Представляем
темнокожий: темнокожий
народ: народом
дико: дико
ненавидеть: ненавидели
светлый: светлый
кожа: кожи
мариец: Марийцы
хоть: хоть
оттенок: оттенок
являться: являлся
религиозный: религиозными
фанатик: фанатиками
их: их
единоверец: единоверцами
плюс: плюс
узаконить: узаконили
кадариец: Кадарийцы
многонациональный: многонациональным
перемешать: перемешаны
межнациональный: межнациональной
рознь: розни
никакой: никакого
смысл: смысле
бы: бы
наверно: наверно
далекий: дальше
б: б
политический: политической
арена: арене
возникнуть: возникли
веселый: веслые
ребята: ребята
под: под
самоназвание: самоназванием
элента: Эленте
элентийский: Элентийский
союз: союз
этот: этот
кулик: кулики
едва: едва
говорить: говоря
ни: ни
слово: слова
сразу: сразу
против: против
откуда: Откуда
взяться: взялись
понятный: понятно
потом: потом
выясниться: выяснилось
считать: считаете
потомок: потомками
построить: построили
отдать: отдать
должное: должное
технология: технологии
впечатляющий: впечатляющими
намного: намного
превосходить: превосходящими
существовать: существующие
объявиться: Объявись
ранний: пораньше
хан: хана
прийти: пришла
упустить: упущено
перед: Перед
противник: противником
бывший: бывшие
непримиримый: непримиримые
оппонент: оппоненты
таки: таки
договориться: договорились
усилие: усилиями
вломиля: вломили
высокомерный: высокомерным
выскочка: выскочкам
сопля: соплям
опомнившись: опомнившись
говориться: говорится
решить: решили
сохранить: сохранить
мина: мину
при: При
плохой: плохой
игра: игре
простой: Проще
пойти: пошли
диалог: диалог
какойто: какойто
делиться: делиться
нет: нет
подарить: подарили
оставаться: оставаясь
единоличный: единоличными
производитель: производителями
нейросеть: нейросети
медкапсула: медкапсулы
продление: продления
остаться: остались
высоко: выше
хотя: Хотя
внешне: внешне
сильно: сильно
отличаться: отличались
кстати: Кстати
один: одна
странность: странность
броситься: бросилась
глаз: глаза
многообразность: многообразности
вселенная: Вселенной
почемуто: почемуто
фигурировать: фигурируют
освоить: освоенном
земля: Земле
обычный: обычный
вид: виды
трудный: Трудно
понять: понять
почему: почему
оказаться: оказался
популярный: популярен
местный: местные
яйцеголовой: яйцеголовые
сей: сей
день: день
мочь: могут
ответить: ответить
вопрос: вопрос
да: да
встречаться: встречались
внимание: вниманию
похожий: похожие
отобрать: отобрали
схожий: схожую
название: названию
литература: литературу
надежда: надежде
предоставить: предоставить
читатель: читателей
больше: больше
вариант: вариантов
интересный: интересные
обсуждение: Обсуждение
собственный: собственные
мнение: мнения
оставить: Оставьте
думать: думаете
главный: главных
указать: Укажите
конкретно: конкретно
понравиться: понравилось
